Libelle,Devise,Unite,Achat,Vente
DIRHAM DES EAU,AED,10,8.267,8.556
DINAR DU BAHREIN,BHD,1,8.055,8.337
DOLLAR CANADIEN,CAD,1,2.221,2.298
FRANC SUISSE,CHF,10,34.136,35.331
YUAN REN MIN BI CHINE NATIONAL,CNY,1,0.419,0.433
COURONNE DANOISE,DKK,100,44.346,45.897
EURO,EUR,1,3.335,3.426
LIVRE STERLING,GBP,1,3.886,4.022
YEN JAPONAIS,JPY,1000,19.537,20.221
DINAR KOWEITIEN,KWD,1,9.915,10.261
DINAR LIBYEN,LYD,1,0.627,0.649
COURONNE NORVEGIENNE,NOK,100,28.816,29.824
RYAL DE QUATAR,QAR,10,8.327,8.619
RYAL SAOUDIEN,SAR,10,8.136,8.411
COURONNE SUEDOISE,SEK,10,2.930,3.032
DOLLAR DES USA,USD,1,3.063,3.148
